text,created_at
"Only people currently residing in Saudi Arabia are permitted to perform Hajj due to the ongoing #COVID19 pandemic. To limit the risk of getting COVID-19, CDC recommends that Americans already in Saudi Arabia not make the pilgrimage this year. Learn more: https://bit.ly/31rXDgP",7/27/2020
"CDC advises against nonessential international travel. If you travel, know that your plans may be disrupted & your return to the US could be delayed. For more, see https://bit.ly/2HqjXft.",7/27/2020
Travel increases your chances of getting and spreading #COVID19. Staying home is the best way to protect yourself and others from getting sick. Learn more: https://bit.ly/2IZicXj,7/23/2020
"It can be difficult to practice social distancing when attending mass gatherings, such as Hajj. This can increase a person’s risk of becoming infected with #COVID19. If you are an American in Saudi Arabia, CDC recommends not performing Hajj this year. https://bit.ly/31rXDgP",7/22/2020
"Is it safe to go camping? - Going camping can pose a risk if you come in close contact w/ others or share public facilities, like restrooms or picnic areas. Exposure may be especially unsafe if you are more likely to get very ill from #COVID19. https://bit.ly/2IZicXj",7/21/2020
"Only people currently residing in Saudi Arabia are permitted to perform Hajj due to the ongoing #COVID19 pandemic. To limit the risk of getting COVID-19, CDC recommends that Americans already in Saudi Arabia not make the pilgrimage this year. Learn more: https://bit.ly/31rXDgP",7/20/2020
Is it safe to travel to visit family or friends? - Travel increases your chances of getting & spreading COVID-19. Traveling to visit family may be especially dangerous if you or your loved ones are more likely to get very ill from #COVID19. Learn more: https://bit.ly/2IZicXj,7/19/2020
"Thinking about traveling? Before you go, consider the following: • Is #COVID19 spreading where you’re going? • Is COVID-19 spreading in your community? For more considerations visit: https://bit.ly/2IZicXj",7/18/2020
Is it safe to travel in the U.S.? - Travel increases your chances of getting infected and spreading #COVID19. Staying home is the best way to protect yourself and others from getting sick. Learn more: https://bit.ly/2IZicXj,7/17/2020
Travel increases your chances of getting and spreading #COVID19. Learn what you can do to protect yourself and others: https://bit.ly/2IZicXj,7/16/2020
"Staying home is the best way to slow the spread of #COVID19. It can be hard to remain apart from loved ones during challenging or stressful times, but try to connect with them in other ways, using video chats or phone calls. https://bit.ly/2IZicXj",7/15/2020
"If you travel, follow state and local travel guidance and restrictions. For up-to-date information, check the state or local health department where you are, along your route, and at your planned destination. Slow the spread of #COVID19. Learn more: https://bit.ly/2IZicXj",7/14/2020
"CDC advises against nonessential international travel. If you travel, know that your plans may be disrupted & your return to the US could be delayed. For more, see https://bit.ly/2HqjXft.",7/13/2020
"If you travel, be aware that some businesses may be closed. Anticipate your needs: • Bring enough of your meds to last the entire trip. • Use hand sanitizer. • Wear a cloth face covering in public. • Pack food & water. Slow the spread of #COVID19. https://bit.ly/2IZicXj",7/12/2020
"If you travel, take these steps to protect yourself & others from #COVID19 during your trip. https://bit.ly/2IZicXj",7/11/2020
"Is car travel safer than air travel? - We don’t know if one type of travel is safer than others. We do know that travel increases your chances of getting and spreading #COVID19. If you decide to travel, plan ahead. Learn more: https://bit.ly/2IZicXj",7/10/2020
"Travel increases your chances of getting and spreading #COVID19. CDC advises against nonessential international travel. If you must travel, know that some healthcare systems are overwhelmed & adequate medical care may be limited. For more, visit https://bit.ly/2HqjXft.",7/9/2020
Travel increases your chances of getting and spreading #COVID19. Staying home is the best way to protect yourself and others from getting sick. Learn more: https://bit.ly/2IZicXj,7/8/2020
"If you travel, be aware that some businesses may be closed. Anticipate your needs: • Bring enough of your meds to last the entire trip. • Use hand sanitizer. • Wear a cloth face covering in public. • Pack food & water. Slow the spread of #COVID19. https://bit.ly/2IZicXj",7/7/2020
Is it safe to travel to visit family or friends? - Travel increases your chances of getting & spreading COVID-19. Traveling to visit family may be especially dangerous if you or your loved ones are more likely to get very ill from #COVID19. Learn more: https://bit.ly/2IZicXj,7/6/2020
"Avoiding all nonessential international travel helps protect those you love, including people at increased risk for severe illness. See FAQs about international travel during the #COVID19 outbreak. https://bit.ly/2XiBi1q",7/5/2020
Travel increases your chances of getting and spreading #COVID19. Learn what you can do to protect yourself and others: https://bit.ly/2IZicXj,7/4/2020
Is it safe to travel in the U.S.? - Travel increases your chances of getting infected and spreading #COVID19. Staying home is the best way to protect yourself and others from getting sick. Learn more: https://bit.ly/2IZicXj,7/3/2020
"Thinking about traveling? Before you go, consider the following: • Is COVID-19 spreading where you’re going? • Is COVID-19 spreading in your community? For more considerations visit: https://bit.ly/2IZicXj",7/2/2020
"Is it safe to go camping? - Going camping can pose a risk if you come in close contact w/ others or share public facilities, like restrooms or picnic areas. Exposure may be especially unsafe if you are more likely to get very ill from #COVID19. https://bit.ly/2IZicXj",7/1/2020
CDC continues to advise travelers to avoid all nonessential international travel. Travel increases your chances of getting and spreading #COVID19. Learn more: https://bit.ly/2TjogQ6,6/30/2020
"If you travel, follow state and local travel guidance and restrictions. For up-to-date information, check the state or local health department where you are, along your route, and at your planned destination. Slow the spread of #COVID19. Learn more: https://bit.ly/2IZicXj",6/29/2020
"Staying home is the best way to slow the spread of #COVID19. It can be hard to remain apart from loved ones during challenging or stressful times, but try to connect with them in other ways, using video chats or phone calls. https://bit.ly/2IZicXj",6/28/2020
"If you travel, protect yourself & others from #COVID19 during your trip: • Clean your hands often. • Avoid close contact w/ others. • Wear a cloth face covering in public. • Pick up food at drive-throughs, curbside restaurant service, or stores. https://bit.ly/2IZicXj",6/27/2020
"CDC advises against nonessential international travel. If you travel, know that your plans may be disrupted & your return to the US could be delayed. For more, see https://bit.ly/2HqjXft.",6/26/2020
"Travel increases your chances of getting and spreading #COVID19. CDC advises against nonessential international travel. If you travel, when you get home you should stay home for 14 days, monitor your health & practice social distancing. Learn more: https://bit.ly/2z39o1B",6/25/2020
"If you travel, be aware that some businesses may be closed. Anticipate your needs: • Bring enough of your meds to last the entire trip. • Use hand sanitizer. • Wear a cloth face covering in public. • Pack food & water. Slow the spread of #COVID19. https://bit.ly/2IZicXj",6/24/2020
"Travel increases your chances of getting and spreading COVID-19. CDC advises against nonessential international travel. If you must travel, know that some healthcare systems are overwhelmed & adequate medical care may be limited. For more, visit https://bit.ly/2HqjXft.",6/23/2020
Travel increases your chances of getting and spreading #COVID19. Staying home is the best way to protect yourself and others from getting sick. Learn more: https://bit.ly/2IZicXj,6/22/2020
"Avoiding all nonessential international travel helps protect those you love, including people at increased risk for severe illness. See FAQs about international travel during the #COVID19 outbreak. https://bit.ly/2XiBi1q",6/21/2020
Travel increases your chances of getting and spreading #COVID19. Learn what you can do to protect yourself and others: https://bit.ly/2IZicXj,6/20/2020
Is it safe to travel to visit family or friends? - Travel increases your chances of getting & spreading COVID-19. Traveling to visit family may be especially dangerous if you or your loved ones are more likely to get very ill from #COVID19. Learn more: https://bit.ly/2IZicXj,6/19/2020
"Is it safe to go camping? - Going camping can pose a risk if you come in close contact w/ others or share public facilities, like restrooms or picnic areas. Exposure may be especially unsafe if you are more likely to get very ill from #COVID19. https://bit.ly/2IZicXj",6/18/2020
"Is car travel safer than air travel? - We don’t know if one type of travel is safer than others. We do know that travel increases your chances of getting and spreading #COVID19. If you decide to travel, plan ahead. Learn more: https://bit.ly/2IZicXj",6/17/2020
Is it safe to travel in the U.S.? - Travel increases your chances of getting infected and spreading #COVID-19. Staying home is the best way to protect yourself and others from getting sick. Learn more: https://bit.ly/2IZicXj,6/16/2020
"Thinking about traveling? Before you go, consider the following: • Is COVID-19 spreading where you’re going? • Is COVID-19 spreading in your community? For more considerations visit: https://bit.ly/2IZicXj",6/15/2020
CDC continues to advise travelers to avoid all nonessential international travel. Travel increases your chances of getting and spreading #COVID19. Learn more: https://bit.ly/2TjogQ6,6/14/2020
"If you travel, protect yourself & others from #COVID19 during your trip: • Clean your hands often. • Avoid close contact w/ others. • Wear a cloth face covering in public. • Pick up food at drive-throughs, curbside restaurant service, or stores. https://bit.ly/2IZicXj",6/13/2020
"Staying home is the best way to slow the spread of #COVID19. It can be hard to remain apart from loved ones during challenging or stressful times, but try to connect with them in other ways, using video chats or phone calls. https://bit.ly/2IZicXj",6/12/2020
"If you travel, follow state and local travel guidance and restrictions. For up-to-date information, check the state or local health department where you are, along your route, and at your planned destination. Slow the spread of #COVID19. Learn more: https://bit.ly/2IZicXj",6/11/2020
"Travel increases your chances of getting and spreading #COVID19. CDC advises against nonessential international travel. If you travel, when you get home you should stay home for 14 days, monitor your health & practice social distancing. Learn more: https://bit.ly/2z39o1B",6/10/2020
